timestamp,open,high,low,close,volume
2026-07-16 19:55:00,216.3200,216.4800,216.0000,216.4000,2045
2026-07-16 19:50:00,216.5700,216.5900,216.0000,216.3200,18445
2026-07-16 19:45:00,216.0418,216.5700,215.8601,216.3000,6342
2026-07-16 19:40:00,216.0800,216.2700,216.0000,216.0418,3873
2026-07-16 19:35:00,216.2968,216.3000,216.0000,216.0800,1764
2026-07-16 19:30:00,216.0500,216.3000,215.9000,216.2500,3115
2026-07-16 19:25:00,215.8200,216.4100,215.8000,216.0500,2600
2026-07-16 19:20:00,216.1028,216.5000,215.8000,215.8200,3700
2026-07-16 19:15:00,215.8700,216.3000,215.8000,216.3000,4657
2026-07-16 19:10:00,216.0100,216.1773,215.6700,215.8450,4650
2026-07-16 19:05:00,216.1842,216.4600,216.0000,216.0000,3127
2026-07-16 19:00:00,219.0500,219.0500,216.1300,216.1400,1422496
2026-07-16 18:55:00,216.8284,216.9800,216.1300,216.6800,12305
2026-07-16 18:50:00,216.7800,217.1000,216.7400,216.7400,3308
2026-07-16 18:45:00,217.1000,217.1400,216.7400,216.7400,5026
2026-07-16 18:40:00,217.0000,219.0500,216.8100,217.0000,2806
2026-07-16 18:35:00,217.2000,217.2000,216.8100,217.0000,1991
2026-07-16 18:30:00,219.0500,219.0500,216.7400,217.0000,1421121
2026-07-16 18:25:00,217.2700,217.5000,217.0400,217.1000,2357
2026-07-16 18:20:00,216.3900,217.5000,216.3900,217.0798,2740
2026-07-16 18:15:00,217.4900,217.5000,216.3000,216.8000,13339
2026-07-16 18:10:00,217.2900,217.5000,217.2900,217.4574,1655
2026-07-16 18:05:00,217.4200,217.5000,217.2900,217.3308,1945
2026-07-16 18:00:00,217.4900,219.0500,217.3000,217.5000,46273
2026-07-16 17:55:00,217.5100,217.5300,217.3000,217.4425,959
2026-07-16 17:50:00,217.2700,219.0500,217.2700,217.4500,635
2026-07-16 17:45:00,217.3006,217.6000,217.2700,217.6000,1432
2026-07-16 17:40:00,217.3500,217.5000,217.2700,217.3494,654
2026-07-16 17:35:00,217.4000,217.4988,217.1600,217.2398,2313
2026-07-16 17:30:00,217.1333,217.4000,217.1000,217.2200,1535
2026-07-16 17:25:00,217.4000,217.6000,217.0900,217.3500,1360
2026-07-16 17:20:00,217.3300,217.4400,217.0800,217.3500,3611
2026-07-16 17:15:00,217.6600,217.6600,217.3000,217.3000,989
2026-07-16 17:10:00,217.6600,217.6600,217.3000,217.4987,1983
2026-07-16 17:05:00,217.4300,217.7600,217.3000,217.5000,797
2026-07-16 17:00:00,217.5000,223.4776,217.2500,217.4500,940
2026-07-16 16:55:00,217.5500,223.4776,217.3000,217.3800,1879
2026-07-16 16:50:00,217.5000,219.0500,217.3800,217.5500,2731
2026-07-16 16:45:00,217.7000,217.7600,217.3500,217.3927,3123
2026-07-16 16:40:00,217.6500,218.0000,217.4000,217.7000,4050
2026-07-16 16:35:00,217.3900,217.8000,217.2500,217.8000,1847
2026-07-16 16:30:00,217.5500,219.0500,217.2000,217.2400,14704
2026-07-16 16:25:00,217.8000,218.0000,217.5200,217.6800,1528
